Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
2287,Lunchtime Neo LLC,3031 W Grand Blvd. Suite 201,48202,John Grossi,061148,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.37007, -83.07621)"
4169,Lynn's Fish & Chicken,12863 Livernois Ave,48238,Linda Robinson,066995,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.38395, -83.13975)"
3940,Mackavelli Deli Dog,14595 Harbor Island,48215,Loronzo G. Jones/Budget Wise L,064071,Mobile Food Establishment,04/25/2016,LHD - Mobile Food Establishmen,Open,,395,"location
(42.36135, -82.93231)"
3273,"Mack Ave. Subway Foods, LLC",18743 Mack Ave,48236,Justin Buccellato,081065,Fixed Establishment,05/07/2018,Food Service Establishment,Open,,365,"location
(42.41493, -82.91177)"
5381,Mack Coney Island,14845 Mack Ave,48215,Hussein Obeid,210890,Fixed Establishment,04/17/2017,Food Service Establishment,Open,,180,"location
(42.38778, -82.94863)"
4337,MacKenzie PK-8,10147 W Chicago Ave,48208,,072738,Fixed Establishment,05/15/2017,Food Service Establishment,Plan Review,,210,"location
(42.36525, -83.15964)"
4694,Madison Building ,1555 Broadway,48226,Madison Theatre Building Hospi,202841,Fixed Establishment,04/30/2018,Food Service Establishment,Plan Review,High,365,"location
(42.33608, -83.04947)"
1169,Madison Carver Academy,19900 McIntyre ,48219,Sharon Arnett,073751,Fixed Establishment,05/07/2018,Charter School,Open,Medium,210,"location
(42.43692, -83.26289)"
51622461,Magic City of Detroit-Dreams,141 W Eight Mile,48203,Nancy Halcim,218094,Fixed Establishment,,Food Service Establishment,Temporarily Closed,High,180,"location
(42.44666, -83.10498)"
1953,Main Street Grill and Coney Island,1985 E Jefferson Ave,48207,Salim Attisha/Rrok Vuktilaj,038603,Fixed Establishment,04/20/2018,Food Service Establishment,Open,High,180,"location
(42.33668, -83.0269)"
1104,Maison Fine Food Inc.,13031 Mack Ave,48215,Muftari Muftar,035178,Fixed Establishment,04/05/2018,Food Service Establishment,Open,,180,"location
(42.38501, -82.96133)"
2141,Maitais,13310-18 E Eight Mile Rd,48205,Talya Johnson,040401,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.44914, -82.98915)"
589,Majestic Cafe/The Majestic Theater,4120 Woodward Ave,48201,Majestic Theatre Center Inc.,080864,Fixed Establishment,06/01/2018,Food Service Establishment,Open,Medium,365,"location
(42.35084, -83.06011)"
408,Maltese Am Benevolent Society,1832 Michigan Avenue,48216,Maltese American Benevolent So,034164,Fixed Establishment,05/07/2018,Food Service Establishment,Open,,530,"location
(42.33163, -83.07115)"
1991,"Mama's, Inc.",14620 E Eight Mile Rd,48205,Violeta Vickie Juncaj,078343,Fixed Establishment,04/26/2016,Food Service Establishment,Open,High,180,"location
(42.44535, -83.19102)"
577,Man Dees Lounge,17132 Conant,48234,Alvin Taylor,034450,Fixed Establishment,04/13/2016,Food Service Establishment,Open,Medium,365,"location
(42.41908, -83.06382)"
4234,Mangonadas Del Barrio,1210-14 Lawndale St,48209,Antonio Hernandez,070062,Fixed Establishment,04/28/2015,Food Service Establishment,Temporarily Closed,,365,"location
(42.3016, -83.12722)"
5308,"Mangonadas Del Barrio #1, LLC",4029 W Vernor Hwy,48209,Edgar Ramirez,203376,Fixed Establishment,,Food Service Establishment,,,365,"location
(42.32163, -83.09225)"
3976,Manhattan Fish and Chicken,8712 Schaefer Ave ,48228,Raoof Ali Qasem,067235,Fixed Establishment,,Food Service Establishment,Open,Medium,180,"location
(42.3575, -83.17738)"
3751,Manhattan Fish and Chicken,3800 Conner,48215,Fadi Chaav,066459,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,180,"location
(42.38404, -82.96729)"
3426,Manhattan Fish & Chicken,13325 Livernois Ave,48238,Hassan H. Alden,055106,Fixed Establishment,04/27/2018,Food Service Establishment,Open,Medium,180,"location
(42.38587, -83.13947)"
3930,Manhattan Fish & Chicken,22000 W Seven Mile Rd,48219,Almas Salim,066999,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,180,"location
(42.42917, -83.25833)"
1409,Manna Meals,1950 Trumbull,48216,MANNA COMM MEAL BOARD OF DIR,035569,Fixed Establishment,04/27/2018,Food Service Establishment,Open,,180,"location
(42.33098, -83.06622)"
1241,Mann Elementary School,19625 Elmira,48228,Detroit Board of Education,078732,Fixed Establishment,05/15/2017,Public School,Open,,210,"location
(42.36872, -83.23442)"
833,Marcus Garvey,2301 Van Dyke Ave,48207,BOARD OF EDU. CITY OF DETROIT,034864,Fixed Establishment,04/30/2018,Public School,Open,,210,"location
(42.35853, -83.00118)"
1405,Mariner's Inn,445 Ledyard,48201,Mariner's Inn,202851,Fixed Establishment,04/19/2018,Food Service Establishment,Open,,180,"location
(42.33978, -83.0584)"
718,Mario's,4222 Second Ave,48201,Vince Passalacqua,034684,Fixed Establishment,04/17/2018,Food Service Establishment,Open,High,180,"location
(42.35033, -83.06571)"
5028,Marisqueria El Emperio,1633 Lawndale St,48209,Nancy Lopez,208152,Mobile Food Establishment,04/19/2017,LHD - Mobile Food Establishmen,Open,,395,"location
(42.30481, -83.12959)"
51622559,Market District Grill,514 Monroe St,48226,Greektown Casino,218106,Fixed Establishment,04/12/2018,Food Service Establishment,Permanently Closed,High,180,"location
(42.33491, -83.04183)"
4981,Market Fresh Deli,18200 W Chicago,48228,Raymond Floyd,218092,Fixed Establishment,05/01/2018,Food Service Establishment,Open,,180,"location
(42.36527, -83.21884)"
2405,Mark's A. Eagles #4 Coney Island,12701 Puritan Ave,48227,Mark's A. Eagles #4 Coney Isla,043543,Fixed Establishment,04/23/2018,Food Service Establishment,Open,,180,"location
(42.40925, -83.17014)"
885,Mark Twain K-8,12800 Visger St,48217,BOARD OF ED CITY OF DETROIT,034919,Fixed Establishment,05/15/2015,Public School,Open,,210,"location
(42.26949, -83.16215)"
4766,Marquette Elementary (Main Building),6145 Canyon,48238,Detroit Board of Education,079468,Fixed Establishment,04/29/2016,Public School,Open,Medium,210,"location
(42.4199, -82.92387)"
1116,Marquette Elementary School (Annex),6145 Canyon,48236,Detroit Board of Education,035193,Fixed Establishment,04/29/2016,Public School,Open,Medium,210,"location
(42.4199, -82.92387)"
51622614,Marrow,"8044 Kercheval Ave, 1B",48214,Yi Ping Ho,2229374,Fixed Establishment,09/21/2018,Food Service Establishment,Open,High,180,
282,Marshalls Bar,14716 E Jefferson Ave,48215,Kathryn Tomlian,229353,Fixed Establishment,04/30/2018,Food Service Establishment,Open,,365,"location
(42.37409, -82.94077)"
894,Martin Luther King High School,3200 E Lafayette St,48207,Detroit Board of Education,070685,Fixed Establishment,,Public School,Open,,210,"location
(42.34303, -83.01632)"
5320,Maru Detroit,160 W Fort St,48226,Robert Song,208190,Fixed Establishment,04/24/2018,Food Service Establishment,Open,High,180,"location
(42.33058, -83.04859)"
955,Marvin L. Winans Academy K-8,9740 McKinney St,48224,Marvin L Winans Academy,217600,Fixed Establishment,,Charter School,Open,Medium,210,"location
(42.41371, -82.94744)"
5334,Marygrove College,8425 W McNichols Rd,48221,Elite,203397,Fixed Establishment,05/07/2018,Food Service Establishment,Open,High,180,"location
(42.41438, -83.15874)"
5287,Mary Lee's Carryout,14901 E 7mile,48205,Terence Brown,200082,Fixed Establishment,05/09/2016,Food Service Establishment,Permanently Closed,,90,"location
(42.43548, -82.96843)"
828,Mary-McLeod Bethune Elementary-Middle ,8145 Puritan Ave,48238,Detroit Board Of Education,034859,Fixed Establishment,04/30/2018,Public School,Open,,210,"location
(42.40919, -83.15186)"
5176,Mary's Grill #2,20804 Plymouth,48228,VUKAJ RESTAURANT LLC,221966,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.3721, -83.24514)"
2280,Mary's Grille,13900 Schaefer Hwy,48227,Skender Hodzic,210888,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.38815, -83.17829)"
1140,Masonic Temple,500 Temple,48201,Masonic Temple Assoc. of Det.,035221,Fixed Establishment,04/30/2018,Food Service Establishment,Open,Medium,365,"location
(42.34175, -83.06013)"
1020,Mason PK-8 @ Farwell Jr. High School,19955 Fenelon St,48238,BOARD OF EDUCATION-CITY OF DET,035074,Fixed Establishment,05/15/2015,Public School,Open,Medium,210,"location
(42.44219, -83.0549)"
